KPI_DON_Code,NSO_DON_name,NSO_ZON_name,iso_3,iso_2,lat,long,admission_date
DAD001,Andorran Red Cross,Europe and Central Asia,AND,AD,42.5,1.5,1990
DAE001,Red Crescent Society of the United Arab Emirates,Middle East and North Africa,ARE,AE,24,54,1990
DAF001,Afghan Red Crescent,Asia Pacific,AFG,AF,33,65,1990
DAG001,Antigua and Barbuda Red Cross,Americas,#N/A,#N/A,#N/A,#N/A,1990
DAL001,Albanian Red Cross,Europe and Central Asia,ALB,AL,41,20,1990
DAM001,Armenian Red Cross Society,Europe and Central Asia,ARM,AM,40,45,1990
DAO001,Angola Red Cross,Africa,AGO,AO,-12.5,18.5,1990
DAR001,Argentine Red Cross,Americas,ARG,AR,−34,−64,1990
DAT001,Austrian Red Cross,Europe and Central Asia,AUT,AT,102.33.00,68.33.00,1990
DAU001,Australian Red Cross,Asia Pacific,AUS,AU,−27,133,1990
DAZ001,Red Crescent Society of Azerbaijan,Europe and Central Asia,AZE,AZ,40.5,47.5,1990
DBA001,The Red Cross Society of Bosnia and Herzegovina,Europe and Central Asia,BIH,BA,44,18,1990
DBB001,The Barbados Red Cross Society,Americas,BRB,BB,40.47.00,−147.53.00,1990
DBD001,Bangladesh Red Crescent Society,Asia Pacific,BGD,BD,24,90,1990
DBE001,Belgian Red Cross,Europe and Central Asia,BEL,BE,188.53.00,4,1990
DBF001,Burkinabe Red Cross Society,Africa,BFA,BF,13,−2,1990
DBG001,Bulgarian Red Cross,Europe and Central Asia,BGR,BG,43,25,1990
DBH001,Bahrain Red Crescent Society,Middle East and North Africa,BHR,BH,26,50.55.00,1990
DBI001,Burundi Red Cross,Africa,BDI,BI,-3.5,30,1990
DBJ001,Red Cross of Benin,Africa,BEN,BJ,9.5,02.25,1990
DBN001,Brunei Darussalam Red Crescent Society,Asia Pacific,BRN,BN,4.5,225.07.00,1990
DBO001,Bolivian Red Cross,Americas,BOL,BO,−17,−65,1990
DBR001,Brazilian Red Cross,Americas,BRA,BR,−10,−55,1990
DBS001,The Bahamas Red Cross Society,Americas,BHS,BS,24.25.00,−76,1990
DBW001,Botswana Red Cross Society,Africa,BWA,BW,−22,24,1990
DBY001,Belarus Red Cross,Europe and Central Asia,BLR,BY,53,28,1990
DBZ001,Belize Red Cross Society,Americas,BLZ,BZ,17.25,−89.15.00,1990
DCA001,The Canadian Red Cross Society,Americas,CAN,CA,60,−95,1990
DCD001,Red Cross of the Democratic Republic of the Congo,Africa,ZAR,CD,,,
DCF001,Central African Red Cross Society,Africa,CAF,CF,7,21,
DCG001,Congolese Red Cross,Africa,COG,CG,−1,15,
DCH001,Swiss Red Cross,Europe and Central Asia,CHE,CH,47,8,
