KPI_DON_Code,NSO_DON_name,NSO_ZON_name,iso_3,iso_2,lat,long,admission_date,admission_date_note
DAD001,Andorran Red Cross,Europe and Central Asia,AND,AD,42.546245,1.601554,27.11.1995,
DAE001,Red Crescent Society of the United Arab Emirates,Middle East and North Africa,ARE,AE,23.424076,53.847818,18.10.1986,
DAF001,Afghan Red Crescent,Asia Pacific,AFG,AF,33.93911,67.709953,26.10.1957,
DAG001,Antigua and Barbuda Red Cross,Americas,ATG,AG,17.060816,-61.796428,25.10.1993,
DAL001,Albanian Red Cross,Europe and Central Asia,ALB,AL,41.153332,20.168331,02.08.1923,
DAM001,Armenian Red Cross Society,Europe and Central Asia,ARM,AM,40.069099,45.038189,27.11.1995,
DAO001,Angola Red Cross,Africa,AGO,AO,-11.202692,17.873887,18.10.1986,
DAR001,Argentine Red Cross,Americas,ARG,AR,-38.416097,-63.616672,23.06.1919,
DAT001,Austrian Red Cross,Europe and Central Asia,AUT,AT,47.516231,14.550072,20.04.1921,
DAU001,Australian Red Cross,Asia Pacific,AUS,AU,-25.274398,133.775136,19.06.1919,
DAZ001,Red Crescent Society of Azerbaijan,Europe and Central Asia,AZE,AZ,40.143105,47.576927,27.11.1995,
DBA001,The Red Cross Society of Bosnia and Herzegovina,Europe and Central Asia,BIH,BA,43.915886,17.679076,07.11.2001,
DBB001,The Barbados Red Cross Society,Americas,BRB,BB,13.193887,-59.543198,20.10.1985,
DBD001,Bangladesh Red Crescent Society,Asia Pacific,BGD,BD,23.684994,90.356331,02.11.1973,
DBE001,Belgian Red Cross,Europe and Central Asia,BEL,BE,50.503887,4.469936,27.05.1919,
DBF001,Burkinabe Red Cross Society,Africa,BFA,BF,12.238333,-1.561593,28.08.1963,
DBG001,Bulgarian Red Cross,Europe and Central Asia,BGR,BG,42.733883,25.48583,20.07.1921,
DBH001,Bahrain Red Crescent Society,Middle East and North Africa,BHR,BH,25.930414,50.637772,02.11.1973,
DBI001,Burundi Red Cross,Africa,BDI,BI,-3.373056,29.918886,28.08.1963,
DBJ001,Red Cross of Benin,Africa,BEN,BJ,9.30769,2.315834,28.08.1963,
DBN001,Brunei Darussalam Red Crescent Society,Asia Pacific,BRN,BN,4.535277,114.727669,20.11.1997  ,
DBO001,Bolivian Red Cross,Americas,BOL,BO,-16.290154,-63.588653,25.05.1923  ,
DBR001,Brazilian Red Cross,Americas,BRA,BR,-14.235004,-51.92528,17.06.1919,
DBS001,The Bahamas Red Cross Society,Americas,BHS,BS,25.03428,-77.39628,07.10.1977,
DBW001,Botswana Red Cross Society,Africa,BWA,BW,-22.328474,24.684866,12.10.1971,
DBY001,Belarus Red Cross,Europe and Central Asia,BLR,BY,53.709807,27.953389,27.11.1995,
DBZ001,Belize Red Cross Society,Americas,BLZ,BZ,17.189877,-88.49765,20.10.1985,
DCA001,The Canadian Red Cross Society,Americas,CAN,CA,56.130366,-106.346771,20.06.1919,
DCD001,Red Cross of the Democratic Republic of the Congo,Africa,ZAR,CD,-4.038333,21.758664,28.08.1963,
DCF001,Central African Red Cross Society,Africa,CAF,CF,6.611111,20.939444,29.10.1975,
DCG001,Congolese Red Cross,Africa,COG,CG,-0.228021,15.827659,07.10.1977,
DCH001,Swiss Red Cross,Europe and Central Asia,CHE,CH,46.818188,8.227512,02.11.1919,
DCI001,Red Cross Society of Côte d'Ivoire,Africa,CIV,CI,7.539989,-5.54708,28.08.1963,
DCK001,Cook Islands Red Cross Society,Asia Pacific,COK,CK,-21.236736,-159.777671,28.11.2003,
DCL001,Chilean Red Cross,Americas,CHL,CL,-35.675147,-71.542969,01.02.1920,
DCM001,Cameroon Red Cross Society,Africa,CMR,CM,7.369722,12.354722,28.08.1963,
DCN001,Red Cross Society of China,Asia Pacific,CHN,CN,35.86166,104.195397,27.07.1919,
DCO001,Colombian Red Cross Society,Americas,COL,CO,4.570868,-74.297333,29.03.1922,
DCR001,Costa Rican Red Cross,Americas,CRI,CR,9.748917,-83.753428,05.04.1922,
DCS001,The Red Cross of Serbia,Europe and Central Asia,SRB,RS,44.016521,21.005859,22.08.1919,27.10.2006 confirmed by Governing Board as continuing society
DCU001,Cuban Red Cross,Americas,CUB,CU,21.521757,-77.781167,17.07.1919,
DCV001,Red Cross of Cape Verde,Africa,CPV,CV,16.002082,-24.013197,20.10.1985,
DCY001,Cyprus Red Cross Society,Europe and Central Asia,CYP,CY,35.126413,33.429859,12.11.2013,
DCZ001,Czech Red Cross,Europe and Central Asia,CZE,CZ,49.817492,15.472962,25.10.1993,
DDE001,German Red Cross,Europe and Central Asia,DEU,DE,51.165691,10.451526,15.07.1922,and again on 25.07.1952
DDJ001,Red Crescent Society of Djibouti,Africa,DJI,DJ,11.825138,42.590275,18.10.1986,
DDK001,Danish Red Cross,Europe and Central Asia,DNK,DK,56.26392,9.501785,12.07.1919,and again on 1930
DDM001,Dominica Red Cross Society,Americas,DMA,DM,15.414999,-61.370976,21.10.1989,
DDO001,Dominican Red Cross,Americas,DOM,DO,18.735693,-70.162651,19.01.1931,
DDZ001,Algerian Red Crescent,Middle East and North Africa,DZA,DZ,28.033886,1.659626,28.08.1963,
DEC001,Ecuadorian Red Cross,Americas,ECU,EC,-1.831239,-78.183406,25.05.1923 ,
DEE001,Estonia Red Cross,Europe and Central Asia,EST,EE,58.595272,25.013607,25.02.1922,and reintegrated on 25.10.1993
DEG001,Egyptian Red Crescent Society,Middle East and North Africa,EGY,EG,26.820553,30.802498,23.06.1929,
